 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.1800  21.0000   0.3217   4.4731  0.25749E+02  0.25747E+02  0.17380E-02  0.27127E+02  0.23112E-03  0.25464E+00  0.26872E+02  0.10018E+01
   10.5890   3.1900  21.0000   0.3232   4.4872  0.25602E+02  0.25601E+02  0.17483E-02  0.26937E+02  0.22068E-03  0.24942E+00  0.26687E+02  0.10018E+01
   10.5890   3.2000  21.0000   0.3246   4.5012  0.25456E+02  0.25454E+02  0.17587E-02  0.26747E+02  0.21096E-03  0.24431E+00  0.26502E+02  0.10018E+01
   10.5890   3.2100  21.0000   0.3261   4.5153  0.25310E+02  0.25309E+02  0.17692E-02  0.26559E+02  0.20191E-03  0.23931E+00  0.26320E+02  0.10018E+01
   10.5890   3.2200  21.0000   0.3275   4.5294  0.25165E+02  0.25163E+02  0.17797E-02  0.26371E+02  0.19348E-03  0.23442E+00  0.26137E+02  0.10018E+01
   10.5890   3.2300  21.0000   0.3290   4.5434  0.25020E+02  0.25018E+02  0.17904E-02  0.26183E+02  0.18563E-03  0.22964E+00  0.25953E+02  0.10018E+01
   10.5890   3.2400  21.0000   0.3305   4.5575  0.24875E+02  0.24873E+02  0.18012E-02  0.25998E+02  0.17831E-03  0.22496E+00  0.25773E+02  0.10018E+01
   10.5890   3.2500  21.0000   0.3319   4.5716  0.24731E+02  0.24729E+02  0.18121E-02  0.25815E+02  0.17149E-03  0.22035E+00  0.25594E+02  0.10018E+01
   10.5890   3.2600  21.0000   0.3334   4.5856  0.24587E+02  0.24585E+02  0.18232E-02  0.25632E+02  0.16514E-03  0.21587E+00  0.25416E+02  0.10018E+01
   10.5890   3.2700  21.0000   0.3349   4.5997  0.24444E+02  0.24442E+02  0.18343E-02  0.25450E+02  0.15921E-03  0.21148E+00  0.25239E+02  0.10018E+01
   10.5890   3.2800  21.0000   0.3364   4.6138  0.24300E+02  0.24299E+02  0.18455E-02  0.25269E+02  0.15368E-03  0.20720E+00  0.25061E+02  0.10018E+01
   10.5890   3.2900  21.0000   0.3379   4.6278  0.24158E+02  0.24156E+02  0.18569E-02  0.25088E+02  0.14852E-03  0.20301E+00  0.24885E+02  0.10018E+01
   10.5890   3.3000  21.0000   0.3394   4.6419  0.24015E+02  0.24013E+02  0.18684E-02  0.24908E+02  0.14370E-03  0.19891E+00  0.24709E+02  0.10018E+01
   10.5890   3.3100  21.0000   0.3409   4.6560  0.23873E+02  0.23871E+02  0.18800E-02  0.24728E+02  0.13919E-03  0.19491E+00  0.24533E+02  0.10018E+01
   10.5890   3.3200  21.0000   0.3424   4.6700  0.23732E+02  0.23730E+02  0.18917E-02  0.24550E+02  0.13498E-03  0.19099E+00  0.24359E+02  0.10018E+01
   10.5890   3.3300  21.0000   0.3439   4.6841  0.23586E+02  0.23584E+02  0.19033E-02  0.24369E+02  0.13102E-03  0.18715E+00  0.24182E+02  0.10019E+01
   10.5890   3.3400  21.0000   0.3454   4.6982  0.23440E+02  0.23438E+02  0.19153E-02  0.24188E+02  0.12732E-03  0.18340E+00  0.24004E+02  0.10019E+01
   10.5890   3.3500  21.0000   0.3469   4.7122  0.23294E+02  0.23292E+02  0.19274E-02  0.24007E+02  0.12383E-03  0.17974E+00  0.23827E+02  0.10019E+01
   10.5890   3.3600  21.0000   0.3484   4.7263  0.23149E+02  0.23147E+02  0.19396E-02  0.23829E+02  0.12056E-03  0.17615E+00  0.23653E+02  0.10019E+01
   10.5890   3.3700  21.0000   0.3499   4.7404  0.23004E+02  0.23002E+02  0.19519E-02  0.23652E+02  0.11747E-03  0.17264E+00  0.23479E+02  0.10019E+01
   10.5890   3.3800  21.0000   0.3514   4.7544  0.22859E+02  0.22857E+02  0.19644E-02  0.23475E+02  0.11455E-03  0.16921E+00  0.23306E+02  0.10019E+01
   10.5890   3.3900  21.0000   0.3530   4.7685  0.22715E+02  0.22713E+02  0.19770E-02  0.23299E+02  0.11180E-03  0.16585E+00  0.23133E+02  0.10019E+01
   10.5890   3.4000  21.0000   0.3545   4.7826  0.22571E+02  0.22569E+02  0.19897E-02  0.23124E+02  0.10919E-03  0.16257E+00  0.22961E+02  0.10019E+01
   10.5890   3.4100  21.0000   0.3560   4.7966  0.22428E+02  0.22426E+02  0.20025E-02  0.22949E+02  0.10671E-03  0.15936E+00  0.22790E+02  0.10019E+01
   10.5890   3.4200  21.0000   0.3576   4.8107  0.22285E+02  0.22283E+02  0.20155E-02  0.22776E+02  0.10435E-03  0.15622E+00  0.22619E+02  0.10019E+01
